D̩partement,Code,Population
Nord,59,2605404
Paris,75,2206488
BouchesduRhne,13,2016566
Rhne,69,1820207
HautsdeSeine,92,1601569
SeineSaintDenis,93,1594264
Gironde,33,1548584
PasdeCalais,62,1472480
Yvelines,78,1423335
SeineetMarne,77,1389931
ValdeMarne,94,1372389
LoireAtlantique,44,1366841
HauteGaronne,31,1335126
Essonne,91,1277151
SeineMaritime,76,1258057
Isre,38,1251269
Valdoise,95,1216035
Hrault,34,1120216
BasRhin,67,1116594
AlpesMaritimes,06,1082442
Var,83,1048616
Moselle,57,1044455
IleetVilaine,35,1042221
Finistre,29,907400
Oise,60,821221
MaineetLoire,49,810408
HauteSavoie,74,794176
HautRhin,68,762536
Loire,42,759422
Morbihan,56,744352
Gard,30,738212
MeurtheetMoselle,54,734739
Calvados,14,692513
Loiret,45,673351
PyrnesAtlantiques,64,670024
Vende,85,668073
PuydeDme,63,647446
CharenteMaritime,17,639831
Ain,01,631721
IndreetLoire,37,605036
Eure,27,600577
Ctesdarmor,22,595483
Marne,51,572220
Somme,80,571021
Sarthe,72,566649
Vaucluse,84,557549
SaneetLoire,71,555415
Aisne,02,538655
Doubs,25,536681
Ctedor,21,533140
Drme,26,504570
Manche,50,493952
PyrnesOrientales,66,471050
Vienne,86,434996
EureetLoir,28,433299
Savoie,73,427756
Dordogne,24,415335
Landes,40,403215
Tarn,81,386740
HauteVienne,87,375715
Vosges,88,371860
Aude,11,366979
DeuxSvres,79,365857
Charente,16,351945
Allier,03,341613
Yonne,89,340719
LotetGaronne,47,333407
LoiretCher,41,333011
Ardche,07,324241
Aube,10,309033
Cher,18,308759
Mayenne,53,305756
Orne,61,285634
Aveyron,12,279220
Ardennes,08,277086
Jura,39,259672
TarnetGaronne,82,255283
Corrze,19,241723
HauteSane,70,237151
HautesPyrnes,65,228573
HauteLoire,43,227056
Indre,36,224095
Nivre,58,211744
Gers,32,190894
Meuse,55,190570
HauteMarne,52,179112
Corse,20,327283
Lot,46,173326
AlpesdeHauteProvence,04,161855
Arige,09,152508
Cantal,15,146151
TerritoiredeBelfort,90,144492
HautesAlpes,05,140923
Creuse,23,120362
Lozre,48,76257